"Product Name"," Product Code"," Expected"," Counted"
"Black Sugar Perfect Essential Scrub 2X (210G)",SKF1003,0,
"Egg White Pore Mask (125G)",SKF1004,1,
"Rice Mask Wash Off (100G)",SKF1005,0,
"Dr. Color Effect Red Serum (40 Ml)",SKL1002,3,
"Artemisia Calming Essence (150 Ml)",MSH1007,2,
"Jeju Matcha Clay Pack - 115 Gm",DCL1014,4,
"Scalp Dx Scaling Shampoo - 500 Ml",DCL1030,1,
"Scalp Dx Thickening Tonic 100Ml",DCL1031,4,
"Ac Cure Solution Blue One - 50Ml",DCL1002,0,
"Perfect Fit Pact 1 - 13 Gm",DCL1017,0,
"Perfect Fit Pact 2 - 13 Gm",DCL1018,0,
"Cica Regen 92 Toner - 120 Ml",DCL1004,3,
"Cica Regen 70 Cream - 50 Ml",DCL1003,3,
"Pro Balance Creamy Cleansing Foam - 150 Ml",DCL1021,5,
"Tea Tree Purifine Soothing Mask 25 Ml",DCL1037,15,
"Royal Vita Propolis 33 Cream (Sample)1.5 Ml",DCL7005,0,
"Recovery Bb Balm(Sachet) : 1.5 Ml",DCL7003,0,
"Hyal Reyouth Hydrogel Eye Mask (90G)",DCL1010,3,
"Ganghwa Rice Granule Pack ( 115 G)",DCL1007,4,
"Pure Vc Mellight Cream ( 20Ml )",DCL1025,4,
"Pure Vc Mellight Ampoule (0.8G + 8Ml / 0.028 Oz. + 0.27 Oz.)",DCL1024,6,
"Vegan Kombucha Tea Essence 150Ml",DCL1039,5,
"Hyal Reyouth Toner 120Ml",DCL1013,4,
"Hyal Reyouth Ampoule 50Ml",DCL1009,3,
"Hyal Reyouth Night Cream 60G",DCL1012,4,
"Tea Tree Purifine 70 Toner (Sample)",DCL7008,0,
"5 Alpha Control No Sebum Sun Lotion(New) (50Ml)",DCL1001,0,
"Vegan Kombucha Tea Lip Balm (3.7G)",DCL1041,0,
"Royal Vitapropolis 33 Capsule Eye Cream (20Ml)",DCL1029,1,
"Plc Vita K Liposome Oil Ampoule (50Ml)",DCL1019,3,
"Pro Balance Biotics Clear Up Sun (50Ml)",DCL1020,4,
"Daily Comfort Hand Wash 370G",DK1004,1,
"Daily Comfort Hand Cream 370G",DK1003,0,
"Rice Serum Sample 1G",IMF7006,0,
"Aloe Soothing Gel Fresh (50%) 150Ml",ISN1001,3,
"Aloe Soothing Gel Moisture (80%) 150Ml",ISN1002,0,
"Green Tea Fresh Toner 20Ml",ISN1015,0,
"Hyaluronic Acid Airy Sun Stick 22G",ISN1016,0,
"Hyaluronic Acid Low Ph Cleansing Foam 150Ml",ISN1019,1,
"Hyaluronic Acid Low-Ph Cleansing Foam (20 Ml)",ISN1020,0,
"Hyaluronic Acid Special Trial Kit 1Ea",ISN1025,2,
"Hyaluronic Acid Toner (Renewed) 20Ml",ISN1026,5,
"Hyaluronic Acid Toner Plus 20Ml",ISN1029,2,
"Hyaluronic Acid Watery Sun Gel 50Ml",ISN1033,1,
"Green Tea Fresh Serum (50Ml)",ISN1013,3,
"Rice Water Bright - Rich Cleansing Oil",TFS1002,0,
"Rice Water Bright - Light Cleansing Oil",TFS1001,0,
"All Clean Hand Sanitizer (50Ml)",DPC1002,0,
"Green Tea Water Bomb Toner 205 Ml",BNJ1008,4,
"Green Tea Water Bomb Cream 100 Ml",BNJ1007,4,
"Extreme Spot Serum 50 Ml",BNJ1002,2,
"Extreme Cica Cream 50 Ml",BNJ1001,4,
"Green Multi-Vitamin Vltal Nutriton Serum 35 Ml",BNJ1004,3,
"Green Multi-Vitamin Vital Nutrition Cream 50 Ml",BNJ1003,3,
"Vegan Witch Hazel No Sebum Sun Shield (Uv Defense Spf50+ / Pa++++) 65 G",BNJ1016,5,
"Green Tea Foam Cleansing 150 Ml",BNJ1006,5,
"Propolis Energy Toner 205Ml",BNJ1011,1,
"Propolis Serum 100Ml",BNJ1013,3,
"Rice Bran 90 Mild Cleansing Oil 200Ml",BNJ1014,2,
"Mellow Mild Milk Cleanser 200Ml",BNJ1009,2,
"Propolis Essential Mask 25G",BNJ1012,0,
"Green Tea Essential Mask 25G",BNJ1005,0,
"Mugwort Cream Calming Mask 55G",BNJ1010,1,
"2X First Essence",TNM1001,0,
"2X First Light Essence",TNM1002,0,
"The Chok Chok Green Tea Watery Eye Cream",TNM1043,0,
"The Chok Chok Green Tea Watery Skin",TNM1046,0,
"Galactomyces Pure Vitamin C Glow Toner (200Ml)",SBM1024,0,
"Time Balm Anti Wrinkle Concealer ( Light) 7.5G/0.26Oz",TBM1029,1,
"Time Balm Concealer Under Eye Anti-Wrinkle 7.5G 0.26 Oz - Light Medium",TBM1033,2,
"Time Balm Anti Wrinkle Concealer Medium Makeup 7.5G 0.26 Oz",TBM1030,2,
"Time Balm Concealer Mid-Medium - 7.5G 0.26 Oz.",TBM1032,4,
"Time Balm Concealer - Medium/Dark 7.5 G/ 0.26 Oz.",TBM1031,2,
"Balmshelter Tinted Moisturizer"," Light"," 1.98 Fl Oz",TBM1008,0,
"Balmshelter Tinted Moisturizer Light/Medium Spf18 58.68 Ml/1.98 Oz",TBM1005,0,
"Balmshelter Tinted Moisturizer Spf 18"," Medium 2.15 Oz",TBM1007,2,
"Balmshelter Tinted Moisturizer Spf 18 - # Med/Dark - 58.68Ml/2.07Oz",TBM1006,2,
"Even Steven Whipped Foundation - # Medium 13.4Ml/0.45Oz",TBM1012,2,
"Even Steven Whipped Foundation - # Mid-Medium 0.45Oz/13.4Ml",TBM1013,1,
"Time Balm Face Primer 30Ml/1Oz",TBM1034,0,
"Hot Mama All-In-One Shadow And Blush - 7.08G"," 120 Demi Black",TBM1015,2,
"Sexy Mama Anti Shine Translucent Powder 7.08G/0.25Oz",TBM1026,2,
"Bahama Mama Bronzer"," Shadow &amp; Contour Powder 7.08G",TBM1004,0,
"Down Boy Shadow/ Blush 8.2G",TBM1011,3,
"Cabana Boy Shadow/ Blush-8.5G/0.3Oz",TBM1009,2,
"Mary Dew Manizer (Liquid Highlighter) 5.5Ml/0.19Oz",TBM1019,3,
"Mary-Lou Shadow &amp; Shimmer Manizer 9.06 G",TBM1021,1,
"Nude Dude Eyeshadow Palette 9.6G/0.336Oz",TBM1024,1,
"Meet Matt(E) Trimony Matte Eyeshadow Palette - 21.7/ 0.75 Oz.",TBM1022,2,
"Bahama Mama Bronzer Travel Size 3G",TBM1003,4,
"Hot Mama Shadow/Blush Travel Size 3G",TBM1016,4,
"Mary-Lou Manizer Mini Highlighter Travel Size 2.70 G",TBM1020,5,
"Mad Lash Mascara Black Travel Size 4.5Ml",TBM1018,7,
"Time Balm Face Primer Travel Size - 12 Ml.",TBM1035,3,
"Cosmetics Face Travel Set 5-Pc With Cosmetics Bag For Women",TBM1010,3,
"Alternative Rock Palette Vol. 1 Face Palette",TBM1001,2,
"Alternative Rock Palette Vol. 2 Face Palette",TBM1002,1,
"The Dew Manizer'Squad Liquid Highlighter Set (Mini Kit)",TBM1028,2,
"Mini Lip Gloss Kit Set Of 6Pcs - Volume 1",TBM1023,3,
"Frat Boy Shadowblush Blush And Shadow 0.3 Oz / 8.5G",TBM1014,4,
"Mugwort Cream (50G)",IMF1016,5,
"Ginseng Eye Cream (30G)",IMF1006,0,
"Mugwort Spot Gel (15G)",IMF1022,2,
"Acid -Duo Hibiscus 63 Cream (50Ml)",BWD1001,0,
"Fundamental Eye Awakening Gel (35Ml)",DK1011,2,
"Fundamental Nourishing Eye Butter",DK1012,5,
"Aha Bha Pha 30 Days Miracle Acne Clear Foam (100 Ml)",SBM1004,0,
"Cica Peptide Anti Hair Loss Derma Scalp Shampoo (285Ml)",SBM1020,1,
"Cica Peptide Anti Hair Loos Derma Scalp Tonic (50Ml)",SBM1019,0,
"Cica Peptide Anti Hair Loss Derma Scalp Treatment (150Ml)",SBM1021,2,
"Youthful Glow Sugar Mask (3.8 Oz / 112.4 Ml)",DK1042,4,
"Daily Skin Hydrating Water (500Ml)",DK1005,0,
"Daily Skin Softening Water (500Ml)",DK1006,2,
"Fig Cleansing Balm (100Ml)",IMF1003,3,
"Fig Scrub Mask (120 G)",IMF1004,2,
"Fig Boosting Essence (150Ml)",IMF1001,2,
"Fig Boosting Essence Miniature (30Ml)",IMF1002,9,
"Royal Vita Propolis 33 Ampoule (15Ml)",DCL1027,4,
"Pure Vitamin C Serum (60Ml)",PRT1018,0,
"Pure Hyaluronic Acid 90 Serum (60Ml)",PRT1017,0,
"Defence Barrier Ph Cleanser (150Ml)",PRT1013,5,
"Sea Buckthorn Vital 70 Cream (50Ml)",PRT1019,1,
"Centella Green Level Recovery Cream(50Ml)",PRT1006,0,
"Centella Green Level Buffet Serum(60Ml)",PRT1003,0,
"Centella Green Level Calming Toner(200Ml)",PRT1004,2,
"Bha Dead Skin Moisture Gel (100Ml)",PRT1001,1,
"From Green Cleansing Oil (200Ml)",PRT1015,0,
"Daily Go-To Sunscreen Broad Spectrum Spf 50+",PRT1011,2,
"Snail Truecica Miracle Repair Cream (60G)",SBM1026,0,
"Clean It Zero Cleansing Balm Original (100Ml)",BC1002,0,
"The Little Book Of Skin Care (Premium)",BSC1001,0,
"Pore Minimizing 21 Serum (40Ml)",TIM1002,0,
"Pore Minimizing 21 Cream(50Ml)",TIM1001,2,
"Gentle Black Facial Cleanser (140 Ml)",DK1017,5,
"Pear Serum (50 Ml)",IMF1023,4,
"Pear Serum Sample (1Ml)",IMF7005,0,
"Vita B3 Source ( 40Ml )",TIM1003,4,
"Green Tea And Enzyme Powder Wash (70G)",BWD1004,0,
"Mandelic Acid 5% Skin Prep Water (120Ml)",BWD1007,6,
"Multi Function Cotton Pads (70 Ea)",BWD1008,4,
"Pure Vitamin C21.5 Advanced Serum(30Ml)",BWD1014,5,
"Vitamin 75 Maximizing Cream (50Ml)",BWD1019,4,
"Quad Active Boosting Essence (100 Ml)",BWD1015,3,
"Sulfur 3% Clean Gel (30 G)",BWD1017,5,
"Pure Vitamin C 15% With Ferulic Acid (30Ml)",BWD1013,6,
"Pro-Biome Balance Cream (50 Ml)",BWD1012,7,
"Acne Pimple Master Patch",CRX1006,7,
"Advance Snail 92 All In One Cream (100Ml)",CRX1007,2,
"Advance Snail 96 Mucin Power Essence (100Ml)",CRX1008,2,
"Aha 7 Whitehead Power Liquid",CRX1010,2,
"Hyaluronic Acid Hydra Power Essence 100Ml",CRX1023,0,
"Aha/Bha Clarifying Treatment Toner(150Ml)",CRX1011,2,
"Aloe Soothing Sun Cream Spf 50+ Pa+++(50Ml)",CRX1012,4,
"Bha Blackhead Power Liquid (100Ml)",CRX1013,3,
"Centella Blemish Cream (30Ml)",CRX1016,0,
"Galactomyces 95 Tone Balancing Essence (100Ml)",CRX1020,2,
"Hyaluronic Acid Intensive Cream(100Ml)",CRX1024,3,
"Low Ph Good Morning Gel Cleanser (150Ml)",CRX1026,3,
"Oil Free Ultra Moisturizing Lotion(100M)L",CRX1030,0,
"Pha Moisture Renewal Power Cream (50Ml)",CRX1034,0,
"Ac Collection Calming Liquid Intensive 125Ml",CRX1003,0,
"Salicylic Acid Exfoliating Cleanser",CRX1036,4,
"Ultimate Moisturizing Honey Over Night Mask(60Ml)",CRX1038,0,
"Ultimate Nourishing Rice Overnight Spa Mask(60Ml)",CRX1039,2,
"Freshly Juiced Vitamin Drop(35Ml)",DK1007,4,
"Freshly Juiced Vitamin E Mask ( 15 Ml )",DK1008,7,
"Gentle Black Cleansing Puff (5G)",DK1015,1,
"Gentle Black Deep Cleansing Oil(150Ml)",DK1016,4,
"Gentle Black Sugar Facial Polish",DK1020,2,
"Fundamental Water Gel Cream",DK1013,8,
"Supple Preparation Body Soap",DK1035,0,
"Midnight Blue Calming Cream (30 Ml )",DK1023,4,
"Midnight Blue Calming Cream(Tube -60 Ml)",DK1024,5,
"Midnight Blue Youth Activating Drop(20Ml)",DK1026,3,
"Rich Moist Foaming Cleanser(100Ml)",DK1029,2,
"Rich Moist Soothing Cream (80Ml)",DK1030,5,
"Rich Moist Soothing Serum",DK1031,4,
"Supple Preparation Facial Toner(180Ml)",DK1037,3,
"Supple Preparation Facial Toner 30Ml",DK1036,8,
"Supple Preparation Unscented Toner (180Ml)",DK1038,3,
"Toner Mate 2In1 Cotton Pad (120Ea)",DK1040,6,
"Ginseng Mask(120G).",IMF1007,0,
"Ginseng Serum(30Ml)",IMF1008,4,
"Rice Cream (50G)",IMF1024,4,
"Mugwort Essence (160 Ml)",IMF1017,4,
"Mugwort Mask (30 G)",IMF1020,0,
"Rice Mask(110 Gm)",IMF1025,0,
"Silicon Brush",IMF1029,13,
"Vitamin Tree Water Gel(75G)",IMF1031,0,
"Rice Serum (30Ml)",IMF1026,2,
"Rice Toner (150Ml)",IMF1027,2,
"Bija Trouble Facial Foam(150Ml)",INS1001,3,
"Retinol Cica Repair Ampoule (30Ml)",INS1021,3,
"Green Tea Foam Cleanser (150ml)",INS1002,2,
"Jeju Cherry Blossom Tone Up Cream (50Ml)",INS1007,4,
"Jeju Orchid Eye Cream (30ml)",INS1008,1,
"Jeju Volcanic Pore Cleansing Foam (150ml)",INS1011,3,
"No Sebum Mineral Powder (5gm)",INS1019,4,
"Olive Real Cleansing Foam (150ml)",INS1020,3,
"Super Volcanic Pore Clay Mask-2X (100ml)",INS1022,0,
"Hyaluronic Acid Water Essence 50Ml",ISN1030,0,
"C-Niacin Toning Ampoule (Renewed) 50Ml",ISN1004,0,
"Spot Saver Mugwort Ampoule 50Ml",ISN1037,1,
"Clear Skin Bha Toner 200Ml",ISN1008,1,
"Spot Saver Mugwort Cream 50Ml",ISN1038,1,
"Green Tea Fresh Toner 200Ml",ISN1014,0,
"Hyaluronic Acid Aqua Gel Cream (Renewed) 100Ml",ISN1017,1,
"Hyaluronic Acid Deep Moisture Water Mask (25G X 1Ea)",ISN1018,0,
"Hyaluronic Acid Moist Cream (Renewed) 100Ml",ISN1021,0,
"Hyaluronic Acid Toner (Renewed) 200Ml",ISN1027,3,
"Real Mugwort Clay Mask 100 Ml",ISN1034,0,
"Sensitive Balancing Cleansing Foam 150Ml",ISN1036,2,
"Tw Real Eye Cream 30Ml",ISN1042,0,
"Spot Saver Mugwort Powder Wash (Sachet)",ISN1040,73,
"Tea Tree Purifine 30 Cleansing Foam (115G)",DCL1032,5,
"Tea Tree 80 Cream (Sample)",DCL7007,2,
"Tea Tree Purifine 70 Toner 100Ml/3.38 Fl Oz",DCL1033,1,
"Pro Balance Pure Cleansing Oil (155Ml)",DCL1022,0,
"Tea Tree Purifine 80 Cream 50G/1.76 Oz.",DCL1034,5,
"All Around Safe Block Aqua Sun Gel Spf50+ (50Ml)",MSH1002,8,
"All Around Safe Block Essence Sun Milk Spf50+/Pa+++(70Ml)",MSH1003,3,
"All Around Safe Block Soft Finish Sun Milk Spf50+/Pa+++ (70Ml)",MSH1004,0,
"All Around Safe Block Waterproof Sun Milk Spf50+/Pa+++ (70Ml)",MSH1005,3,
"All-Around Safe Block Velvet Finish Sun Milk (Spf 50+ Pa++++) (70Ml)",MSH1006,2,
"Embossing Cotton Puff",MSH1011,1,
"M Perfect Bb Cream 13 (Sample)",MSH7005,0,
"Natural Konjac Cleansing Puff (Bamboo Charcoal)",MSH1039,0,
"Natural Konjac Cleansing Puff (White Clay)",MSH1040,0,
"Phyto Niacin Whitening Essence (50Ml)",NPC1001,3,
"Dr. Color Effect Red Cream 50 Ml",SKL1001,2,
"Pore Corset Serum(30Ml)",SKM1001,0,
"Pore Zero Night Cream",SKM1003,0,
"Aha Bha Pha 30 Days Miracle Serum (50 Ml)",SBM1010,2,
"Aha Bha Pha 30 Days Miracle Toner (150Ml)",SBM1013,3,
"Aha Bha Pha 30 Days Miracle Cream (20 Ml)",SBM1008,0,
"Aha Bha Pha 30 Days Miracle Cream (50Ml)",SBM1009,1,
"Aha-Bha-Pha 30 Days Miracle Serum (10 Ml)",SBM1014,0,
"Acid-Duo 2% Mild Gel Cleanser",BWD1002,1,
"Polyphenols In Propolis 15% Ampoule",BWD1011,6,
"Polyphenols In Propolis 15% Ampoule 1.5 Ml",BWD7002,0,
"Clear Skin 8% Aha Essence (Renewed) 100Ml",ISN1007,3,
"Pro-Biome Balance Cream 1.5 Ml (Sample)",BWD7003,0,
"Quad Active Boosting Essence 2 Ml (Sample)",BWD7004,0,
"All Clean Balm 120Ml",HMS1002,4,
"Green Tea Fresh Emulsion",ISN1012,0,
"Special Care Lip Sleeping Mask-Berry (20G)",LNG1006,0,
"Neck Firming Cream 1Ft. Oz. (30 Ml)",YTH1007,0,
"Glycolic Acid 30% Gel Peel 1Ft. Oz. (30 Ml)",YTH1004,0,
"Fundamental Ampule Mist ( 125 Ml )",DK1010,1,
"Fundamental Watery Oil Drop (50Ml)",DK1014,5,
"Fundamental Watery Oil Drop 1.5 Ml (Sample)",DK7006,0,
"Fundamental Water Gel Cream 1.5 Ml (Sample)",DK7005,13,
"My Lip Balm (#03 Home Made Lemon) 15G",INS1013,2,
"My Lip Balm (#11 Wedding Peach Tea) 15G",INS1018,2,
"My Lip Balm (#10 Rubey Grapefruit Tea) 15G",INS1017,1,
"My Lip Balm (#08 Sunkissed Cherry Tea) 15G",INS1016,2,
"My Lip Balm (#07 Dried Rose Tea) 15G",INS1015,0,
"My Lip Balm (#05 Wild Hibiscus) 15G",INS1014,1,
"Time Revolution Night Repair Probio Ampoule ( 4Th_2019) (50 Ml)",MSH1073,0,
"Time Revolution The First Treatment Essence Rx ( 4Th_2019)(150 Ml)",MSH1075,1,
"Tea Tree Purifine 95 Essence (50Ml)",DCL1036,3,
"Royal Vita Propolis 33 Cream (50G)",DCL1028,4,
"Special Care Water Sleeping Mask (15Ml)",LNG1010,0,
"30 Days Miracle Green Tea Tox Bubble Cleanser (120G)",SBM1001,1,
"Yuja Niacin Brightening Sleeping Mask (60G)",SBM1040,2,
