"Product Name"," Product Code"," Expected"," Counted"
"Carrot Mild Sunscreen Spf50+ Pa++++ (50Ml)",BLF1001,1,
"Propolis Serum 100Ml",BNJ1013,1,
"Vegan Witch Hazel No Sebum Sun Shield (Uv Defense Spf50+ / Pa++++) 65 G",BNJ1016,5,
"Advance Snail 96 Mucin Power Essence (100Ml)",CRX1008,6,
"Aha 7 Whitehead Power Liquid",CRX1010,1,
"Aloe Soothing Sun Cream Spf 50+ Pa+++(50Ml)",CRX1012,8,
"Two In One Poreless Power Liquid (100Ml)",CRX1037,0,
"Freshly Juiced Vitamin E Mask ( 15 Ml )",DK1008,11,
"Supple Preparation Unscented Toner (180Ml)",DK1038,14,
"All Clean Low Ph AHA/PHA Hydro Vegan Essence 50Ml",HMS1008,0,
"All Clean White Clay Foam 30Ml",HMS1013,0,
"Marine Care Eye Cream (30Ml)",HMS1020,1,
"Propolis Vitamin Sleeping Mask 60Ml",INK1005,0,
"Rose Galactomyces Synergy Serum 50Ml",INK1007,1,
"Tea Tree Relief Serum 50Ml",INK1008,1,
"Bija Trouble Facial Foam(150Ml)",INS1001,5,
"Jeju Orchid Eye Cream (30ml)",INS1008,0,
"Jeju Volcanic Pore Cleansing Foam (150ml)",INS1011,0,
"Green Tea Fresh Toner 200Ml",ISN1014,2,
"Hyaluronic Acid Aqua Gel Cream (Renewed) 100Ml",ISN1017,2,
"Real Mugwort Clay Mask 100 Ml",ISN1034,0,
"Tw Real Eye Cream 30Ml",ISN1042,0,
"All Around Safe Block Waterproof Sun Milk Spf50+/Pa+++ (70Ml)",MSH1005,0,
"Bha Dead Skin Moisture Gel (100Ml)",PRT1001,0,
"Daily Go-To Sunscreen Broad Spectrum Spf 50+",PRT1011,3,
"Aha Bha Pha Real Cica 92% Cool Calming Soothing Gel (300Ml)",SBM1002,2,
"Snail Truecica Miracle Repair Serum (50Ml)",SBM1030,3,
"Super Matcha Pore Clean Clay Mask",SBM1035,0,
"Yuja Niacin Brightening Sleeping Mask (60G)",SBM1040,1,
"Dr. Color Effect Red Serum (40 Ml)",SKL1002,3,
"Pore Zero Night Cream",SKM1003,0,
"Time Balm Face Primer 30Ml/1Oz",TBM1034,0,
"Watermelon Fresh Sunscreen Spf50+/Pa++++ (50Ml)",BLF1002,0,
"Green Multi-Vitamin Vital Nutrition Cream 50 Ml",BNJ1003,4,
"Mellow Mild Milk Cleanser 200Ml",BNJ1009,1,
"Propolis Energy Toner 205Ml",BNJ1011,1,
"Sa Cream 10% Urea - 340Ml (Smoothing)",CRV1011,0,
"Centella Blemish Cream (30Ml)",CRX1016,1,
"Galactomyces 95 Tone Balancing Essence (100Ml)",CRX1020,1,
"Honey Glow Kit",CRX1022,1,
"Hyaluronic Acid Hydra Power Essence 100Ml",CRX1023,0,
"Low Ph Good Morning Gel Cleanser (150Ml)",CRX1026,1,
"Oil Free Ultra Moisturizing Lotion(100M)L",CRX1030,3,
"Plc Vita K Liposome Oil Ampoule (50Ml)",DCL1019,9,
"Pro Balance Creamy Cleansing Foam - 150 Ml",DCL1021,1,
"Tea Tree Purifine 95 Essence (50Ml)",DCL1036,1,
"Vegan Kombucha Tea Essence 150Ml",DCL1039,6,
"Gentle Black Facial Cleanser (140 Ml)",DK1017,5,
"Black Tea Mask Pack 110Ml",HMS1015,1,
"Watermelon Moisture Soothing Gel Cream 110Ml",HMS1023,2,
"Fig Scrub Mask (120 G)",IMF1004,0,
"Centella Calming Gel Cream (60Ml)",INK1003,1,
"Green Tea Fresh Serum (50Ml)",ISN1013,0,
"Hyaluronic Acid Airy Sun Stick 22G",ISN1016,2,
"Spot Saver Mugwort Ampoule 50Ml",ISN1037,0,
