"Product Name"," Product Code"," Expected"," Counted"
"Black Sugar Perfect Essential Scrub 2X (210G)",SKF1003,0,
"Egg White Pore Mask (125G)",SKF1004,0,
"Rice Mask Wash Off (100G)",SKF1005,4,
"Dr. Color Effect Red Serum (40 Ml)",SKL1002,-5,
"Time Revolution Artemisia Calming Moisture Cream (50Ml)",MSH1067,1,
"Artemisia Calming Essence (150 Ml)",MSH1007,2,
"Jeju Matcha Clay Pack - 115 Gm",DCL1014,3,
"Scalp Dx Scaling Shampoo - 500 Ml",DCL1030,0,
"Scalp Dx Thickening Tonic 100Ml",DCL1031,0,
"Ac Cure Solution Blue One - 50Ml",DCL1002,3,
"Perfect Fit Pact 1 - 13 Gm",DCL1017,1,
"Perfect Fit Pact 2 - 13 Gm",DCL1018,2,
"Cica Regen 92 Toner - 120 Ml",DCL1004,3,
"Cica Regen 70 Cream - 50 Ml",DCL1003,3,
"Pro Balance Creamy Cleansing Foam - 150 Ml",DCL1021,1,
"Tea Tree Purifine Soothing Mask 25 Ml",DCL1037,8,
"Royal Vita Propolis 33 Cream (Sample)1.5 Ml",DCL7005,15,
"Recovery Bb Balm(Sachet) : 1.5 Ml",DCL7003,0,
"Hyal Reyouth Hydrogel Eye Mask (90G)",DCL1010,2,
"Ganghwa Rice Granule Pack ( 115 G)",DCL1007,4,
"Pure Vc Mellight Cream ( 20Ml )",DCL1025,2,
"Pure Vc Mellight Ampoule (0.8G + 8Ml / 0.028 Oz. + 0.27 Oz.)",DCL1024,6,
"Vegan Kombucha Tea Essence 150Ml",DCL1039,6,
"Hyal Reyouth Toner 120Ml",DCL1013,2,
"Hyal Reyouth Ampoule 50Ml",DCL1009,5,
"Hyal Reyouth Night Cream 60G",DCL1012,4,
"Tea Tree Purifine 70 Toner (Sample)",DCL7008,2,
"5? Control No Sebum Sun Lotion(New) (50Ml)",DCL1001,3,
"Vegan Kombucha Tea Lip Balm (3.7G)",DCL1041,3,
"Royal Vitapropolis 33 Capsule Eye Cream (20Ml)",DCL1029,3,
"Plc Vita K Liposome Oil Ampoule (50Ml)",DCL1019,2,
"Pro Balance Biotics Clear Up Sun (50Ml)",DCL1020,3,
"Daily Comfort Hand Wash 370G",DK1004,1,
"Daily Comfort Hand Cream 370G",DK1003,1,
"Rice Serum Sample 1G",IMF7006,21,
"Aloe Soothing Gel Fresh (50%) 150Ml",ISN1001,3,
"Aloe Soothing Gel Moisture (80%) 150Ml",ISN1002,1,
"Green Tea Fresh Toner 20Ml",ISN1015,3,
"Hyaluronic Acid Airy Sun Stick 22G",ISN1016,4,
"Hyaluronic Acid Low Ph Cleansing Foam 150Ml",ISN1019,1,
"Hyaluronic Acid Low-Ph Cleansing Foam (20 Ml)",ISN1020,1,
"Hyaluronic Acid Special Trial Kit 1Ea",ISN1025,2,
"Hyaluronic Acid Toner (Renewed) 20Ml",ISN1026,2,
"Hyaluronic Acid Toner Plus 20Ml",ISN1029,3,
"Hyaluronic Acid Watery Sun Gel 50Ml",ISN1033,5,
"Green Tea Fresh Serum (50Ml)",ISN1013,3,
"Rice Water Bright - Rich Cleansing Oil",TFS1002,1,
"Rice Water Bright - Light Cleansing Oil",TFS1001,2,
"All Clean Hand Sanitizer (50Ml)",DPC1002,23,
"Green Tea Water Bomb Toner 205 Ml",BNJ1008,1,
"Green Tea Water Bomb Cream 100 Ml",BNJ1007,2,
"Extreme Spot Serum 50 Ml",BNJ1002,2,
"Extreme Cica Cream 50 Ml",BNJ1001,3,
"Green Multi-Vitamin Vltal Nutriton Serum 35 Ml",BNJ1004,3,
"Green Multi-Vitamin Vital Nutrition Cream 50 Ml",BNJ1003,2,
"Vegan Witch Hazel No Sebum Sun Shield (Uv Defense Spf50+ / Pa++++) 65 G",BNJ1016,3,
"Green Tea Foam Cleansing 150 Ml",BNJ1006,-1,
"Propolis Energy Toner 205Ml",BNJ1011,1,
"Propolis Serum 100Ml",BNJ1013,2,
"Rice Bran 90 Mild Cleansing Oil 200Ml",BNJ1014,2,
"Mellow Mild Milk Cleanser 200Ml",BNJ1009,3,
"Propolis Essential Mask 25G",BNJ1012,4,
"Green Tea Essential Mask 25G",BNJ1005,1,
"Mugwort Cream Calming Mask 55G",BNJ1010,2,
"2X First Essence",TNM1001,1,
"2X First Light Essence",TNM1002,2,
"Floria Brightening Peeling Gel",TNM1006,2,
"Kiss Kiss Lip Essence Balm",TNM1019,2,
"The Chok Chok Green Tea Watery Eye Cream",TNM1043,2,
"The Chok Chok Green Tea Watery Skin",TNM1046,2,
"Wonder Rice Smooting Toner",TNM1064,1,
"Galactomyces Pure Vitamin C Glow Toner (200Ml)",SBM1024,1,
"Time Balm Anti Wrinkle Concealer ( Light) 7.5G/0.26Oz",TBM1029,3,
"Time Balm Concealer Under Eye Anti-Wrinkle 7.5G 0.26 Oz - Light Medium",TBM1033,2,
"Time Balm Anti Wrinkle Concealer Medium Makeup 7.5G 0.26 Oz",TBM1030,2,
"Time Balm Concealer Mid-Medium - 7.5G 0.26 Oz.",TBM1032,1,
"Time Balm Concealer - Medium/Dark 7.5 G/ 0.26 Oz.",TBM1031,3,
"Balmshelter Tinted Moisturizer"," Light"," 1.98 Fl Oz",TBM1008,1,
"Balmshelter Tinted Moisturizer Light/Medium Spf18 58.68 Ml/1.98 Oz",TBM1005,1,
"Balmshelter Tinted Moisturizer Spf 18"," Medium 2.15 Oz",TBM1007,2,
"Balmshelter Tinted Moisturizer Spf 18 - # Med/Dark - 58.68Ml/2.07Oz",TBM1006,2,
"Even Steven Whipped Foundation - # Medium 13.4Ml/0.45Oz",TBM1012,2,
"Even Steven Whipped Foundation - # Mid-Medium 0.45Oz/13.4Ml",TBM1013,2,
"Time Balm Face Primer 30Ml/1Oz",TBM1034,1,
"Hot Mama All-In-One Shadow And Blush - 7.08G"," 120 Demi Black",TBM1015,3,
"Sexy Mama Anti Shine Translucent Powder 7.08G/0.25Oz",TBM1026,3,
"Bahama Mama Bronzer"," Shadow & Contour Powder 7.08G",TBM1004,1,
"Down Boy Shadow/ Blush 8.2G",TBM1011,2,
"Cabana Boy Shadow/ Blush-8.5G/0.3Oz",TBM1009,2,
"Mary Dew Manizer (Liquid Highlighter) 5.5Ml/0.19Oz",TBM1019,3,
"Mary-Lou Shadow & Shimmer Manizer 9.06 G",TBM1021,2,
"Nude Dude Eyeshadow Palette 9.6G/0.336Oz",TBM1024,1,
"Meet Matt(E) Trimony Matte Eyeshadow Palette - 21.7/ 0.75 Oz.",TBM1022,2,
"Bahama Mama Bronzer Travel Size 3G",TBM1003,5,
"Hot Mama Shadow/Blush Travel Size 3G",TBM1016,5,
"Mary-Lou Manizer Mini Highlighter Travel Size 2.70 G",TBM1020,5,
"Mad Lash Mascara Black Travel Size 4.5Ml",TBM1018,2,
"Time Balm Face Primer Travel Size - 12 Ml.",TBM1035,4,
"Cosmetics Face Travel Set 5-Pc With Cosmetics Bag For Women",TBM1010,2,
"Alternative Rock Palette Vol. 1 Face Palette",TBM1001,3,
"Alternative Rock Palette Vol. 2 Face Palette",TBM1002,2,
"The Dew Manizer'Squad Liquid Highlighter Set (Mini Kit)",TBM1028,2,
"Mini Lip Gloss Kit Set Of 6Pcs - Volume 1",TBM1023,3,
"Frat Boy Shadowblush Blush And Shadow 0.3 Oz / 8.5G",TBM1014,2,
"Mugwort Cream (50G)",IMF1016,8,
"Ginseng Eye Cream (30G)",IMF1006,4,
"Mugwort Spot Gel (15G)",IMF1022,6,
"Acid -Duo Hibiscus 63 Cream (50Ml)",BWD1001,3,
"Fundamental Eye Awakening Gel (35Ml)",DK1011,4,
