"Product Name"," Product Code"," Expected"," Counted"
"Hibiscus Moisturizing Scalp Pack 200Ml",RG1001,0,
"Hibiscus Moisturizing Scalp Pack 50Ml",RG1002,120,
"Real Shea Cold Pressed Shea Butter Anti-Frizz Hair Lotion 150Ml",RG1003,25,
"Real Shea Nourishing Shampoo 400Ml",RG1004,19,
"Real Shea Protein Recharging Leave-In Treatment 150Ml",RG1005,25,
"Real Shea Real Change Treatment 240Ml",RG1006,20,
"Rosemary Balancing Scalp Pack 200Ml",RG1007,0,
"Rosemary Balancing Scalp Pack 50Ml",RG1008,119,
"Tamanu Oil Soothing Scalp Pack 200Ml",RG1009,0,
"Tamanu Oil Soothing Scalp Pack 50Ml",RG1010,118,
"Pure Vitamin C Serum (60Ml)",PRT1018,0,
"Mugwort Essence (30 Ml)",IMF1018,0,
"Stainiac (Cheek &amp; Lip Stain) - # Beauty Queen 8.5G/0.3Oz",TBM1027,0,
"Pro-Biome Balance Cream (50 Ml)",BWD1012,0,
"Supple Preparation All Over Lotion (Sample)",DK7013,0,
"Fundamental Water Gel Cream",DK1013,0,
"Supple Preparation All Over Lotion(250Ml)",DK1034,0,
"Vitamin 75 Maximizing Cream (50Ml)",BWD1019,50,
"Vitamin Tree Water Gel(75G)",IMF1031,0,
"Scalp Dx Scaling Shampoo - 500 Ml",DCL1030,12,
"Gentle Black Sugar Facial Polish",DK1020,0,
"Rich Moist Soothing Cream (80Ml)",DK1030,0,
"Pure Vitamin C 15% With Ferulic Acid (30Ml)",BWD1013,1,
"Midnight Blue Youth Activating Drop(20Ml)",DK1026,0,
"Pure Vitamin C21.5 Advanced Serum(30Ml)",BWD1014,0,
"Freshly Juiced Vitamin Drop(35Ml)",DK1007,0,
"Freshly Juiced Vitamin E Mask ( 15 Ml )",DK1008,65,
"Midnight Blue Calming Sheet Mask",DK1025,90,
"Mugwort Essence (160 Ml)",IMF1017,0,
"Gentle Black Deep Cleansing Oil(150Ml)",DK1016,0,
"Gentle Black Fresh Cleansing Oil(150Ml)",DK1018,0,
"Mandelic Acid 5% Skin Prep Water - Miniature (30 Ml)",BWD1006,115,
"Natural Vitamin 21.5 Enhancing Sheet Mask (23Ml)",BWD1009,200,
"Daily Intense Nourishing Conditioner 200ml",NL1001,8,
"Daily Intense Nourishing Hair Essence 120ml",NL1002,29,
"Daily Intense Nourishing Shampoo 300ml",NL1003,58,
"Magic Nine Fill Up Silk Hair Treatment 200ml",NL1004,32,
"Magic Nine Perlite Scalp Scrub Shampoo 150ml",NL1005,5,
"Magic Nine Rich Hair Volume Balm 150ml",NL1006,7,
"M Perfect Cover Bb Cream No-27 (50Ml)",MSH1020,0,
"Oil Free Ultra Moisturizing Lotion(100M)L",CRX1030,0,
"Centella Calming Gel Cream (60Ml)",INK1003,0,
"Special Care Lip Sleeping Mask-Berry (3G)",LNG1007,0,
"Supple Preparation Facial Toner(180Ml)",DK1037,0,
"Pro Balance Biotics Clear Up Sun (50Ml)",DCL1020,0,
"Zero Complex Whitening & Moistureizing Total Care Mask Pack (25G)",OAC1001,0,
"Moist Soothing Serum (Sample)",DK7011,200,
"Moist Soothing Cream (Sample)",DK7010,200,
"Fundamental Nourishing Eye Butter (Sample)",DK7004,0,
"5 Alpha Control No Sebum Sun Lotion(New) (50Ml)",DCL1001,0,
"Cica Regen 70 Cream - 50 Ml",DCL1003,0,
"Cica Regen Vegan Sun (50 Ml)",DCL1006,0,
"Hyal Reyouth Lifting Mask 23 Ml",DCL1011,130,
"Hyal Reyouth Night Cream 60G",DCL1012,10,
"Hyal Reyouth Toner 120Ml",DCL1013,0,
"Plc Vita K Liposome Oil Ampoule (50Ml)",DCL1019,0,
"Pro Balance Creamy Cleansing Foam - 150 Ml",DCL1021,10,
"Pure Vc Mellight Cream ( 20Ml )",DCL1025,0,
"Royal Vita Propolis 33 Ampoule (15Ml)",DCL1027,20,
"Royal Vita Propolis 33 Cream (50G)",DCL1028,0,
"Royal Vitapropolis 33 Capsule Eye Cream (20Ml)",DCL1029,0,
"Scalp Dx Thickening Tonic 100Ml",DCL1031,10,
"Tea Tree Purifine 30 Cleansing Foam (115G)",DCL1032,0,
"Tea Tree Purifine 70 Toner 100Ml/3.38 Fl Oz",DCL1033,0,
"Tea Tree Purifine 80 Cream 50G/1.76 Oz.",DCL1034,0,
"Tea Tree Purifine 95 Essence (50Ml)",DCL1036,0,
"Tea Tree Purifine Soothing Mask 25 Ml",DCL1037,200,
"Vegan Kombucha Tea Essence 150Ml",DCL1039,8,
"Vegan Kombucha Tea Gel Cream (75 G)",DCL1040,10,
"Vita Propolis Anti Oxidant Mask 30 Ml",DCL1042,120,
"Hyal Reyouth Moist Sun - 50ml",DCL1043,0,
"Pro Balance Biotics Moisturizer - 100ml",DCL1044,10,
"Scalp Dx Voluming Treatment - 200ml",DCL1045,10,
"Illuminating Supple Blemish Cream Spf 40",DK1021,0,
"Freshly Juiced Vitamin E Mask ( 90 Ml )",DK1009,20,
"Midnight Blue Calming Cream(Tube -60 Ml)",DK1024,70,
"Acid-Duo 2% Mild Gel Cleanser",BWD1002,0,
"Honey Glow Cream (50G)",IMF1010,0,
"Ginseng Serum(30Ml)",IMF1008,0,
"Rice Cream (50G)",IMF1024,0,
"Fundamental Water Gel Cream 1.5 Ml (Sample)",DK7005,0,
"Midnight Blue Calming Cream (Sample)",DK7009,0,
"Polyphenols In Propolis 15% Ampoule 1.5 Ml",BWD7002,0,
"Gentle Black Facial Cleanser (140 Ml)",DK1017,0,
"Supple Preparation Unscented Toner (180Ml)",DK1038,-1,
"Rich Moist Foaming Cleanser(100Ml)",DK1029,0,
